Stem,Strong,Dub,Sem,Accent,Class,Loan,Rhyme,Coda,Syll,Monosyll,Case,CountStr,CountWk,PropStr
Administrator,1,0,Hum,Pen,Or,1,Vl,L,5,0,Acc,985,12,0.988
Administrator,1,0,Hum,Pen,Or,1,Vl,L,5,0,Dat,787,3,0.9962
Administrator,1,0,Hum,Pen,Or,1,Vl,L,5,0,Gen,336,3,0.9912
Aggressor,1,0,Hum,Pen,Or,1,Vl,L,3,0,Acc,150,2,0.9868
Aggressor,1,0,Hum,Pen,Or,1,Vl,L,3,0,Dat,82,0,1
Aggressor,1,0,Hum,Pen,Or,1,Vl,L,3,0,Gen,36,0,1
Alligator,1,0,Ani,Pen,Or,1,Vl,L,4,0,Acc,144,6,0.96
Alligator,1,0,Ani,Pen,Or,1,Vl,L,4,0,Dat,70,2,0.9722
Alligator,1,0,Ani,Pen,Or,1,Vl,L,4,0,Gen,61,2,0.9683
Apparat,1,0,Ina,Ult,At,1,Vt,T,3,0,Acc,1622,1,0.9994
Apparat,1,0,Ina,Ult,At,1,Vt,T,3,0,Dat,738,0,1
Apparat,1,0,Ina,Ult,At,1,Vt,T,3,0,Gen,495,1,0.998
Autor,1,0,Hum,Ini,Or,1,Vl,L,2,0,Acc,3425,486,0.8757
Autor,1,0,Hum,Ini,Or,1,Vl,L,2,0,Dat,3600,421,0.8953
Autor,1,0,Hum,Ini,Or,1,Vl,L,2,0,Gen,3603,341,0.9135
Dämon,1,0,Ina,Ini,Null,0,Vn,N,2,0,Acc,2280,657,0.7763
Dämon,1,0,Ina,Ini,Null,0,Vn,N,2,0,Dat,1812,373,0.8293
Dämon,1,0,Ina,Ini,Null,0,Vn,N,2,0,Gen,858,237,0.7836
Detektor,1,0,Ina,Pen,Or,1,Vl,L,3,0,Acc,612,1,0.9984
Detektor,1,0,Ina,Pen,Or,1,Vl,L,3,0,Dat,509,1,0.998
Detektor,1,0,Ina,Pen,Or,1,Vl,L,3,0,Gen,203,0,1
Diktator,1,0,Hum,Pen,Or,1,Vl,L,3,0,Acc,1022,8,0.9922
Diktator,1,0,Hum,Pen,Or,1,Vl,L,3,0,Dat,642,5,0.9923
Diktator,1,0,Hum,Pen,Or,1,Vl,L,3,0,Gen,597,7,0.9884
Direktor,1,0,Hum,Pen,Or,1,Vl,L,3,0,Acc,430,0,1
Direktor,1,0,Hum,Pen,Or,1,Vl,L,3,0,Dat,285,0,1
Direktor,1,0,Hum,Pen,Or,1,Vl,L,3,0,Gen,286,0,1
Doktor,1,0,Hum,Ini,Or,2,Vl,L,2,0,Acc,819,4,0.9951
Doktor,1,0,Hum,Ini,Or,2,Vl,L,2,0,Dat,422,1,0.9976
Doktor,1,0,Hum,Ini,Or,2,Vl,L,2,0,Gen,532,2,0.9963
Emulator,1,0,Ina,Pen,Or,1,Vl,L,4,0,Acc,474,0,1
Emulator,1,0,Ina,Pen,Or,1,Vl,L,4,0,Dat,231,0,1
Emulator,1,0,Ina,Pen,Or,1,Vl,L,4,0,Gen,72,0,1
Faktor,1,0,Ina,Ini,Or,1,Vl,L,2,0,Acc,7061,33,0.9953
Faktor,1,0,Ina,Ini,Or,1,Vl,L,2,0,Dat,3442,9,0.9974
Faktor,1,0,Ina,Ini,Or,1,Vl,L,2,0,Gen,525,2,0.9962
Generator,1,0,Ina,Pen,Or,1,Vl,L,4,0,Acc,2148,3,0.9986
Generator,1,0,Ina,Pen,Or,1,Vl,L,4,0,Dat,798,1,0.9987
Generator,1,0,Ina,Pen,Or,1,Vl,L,4,0,Gen,427,1,0.9977
Gladiator,1,0,Hum,Pen,Or,1,Vl,L,4,0,Acc,112,19,0.855
Gladiator,1,0,Hum,Pen,Or,1,Vl,L,4,0,Dat,52,3,0.9455
Gladiator,1,0,Hum,Pen,Or,1,Vl,L,4,0,Gen,67,8,0.8933
Gnom,1,0,Ani,Ini,Null,0,Vn,N,1,1,Acc,198,15,0.9296
Gnom,1,0,Ani,Ini,Null,0,Vn,N,1,1,Dat,101,5,0.9528
Gnom,1,0,Ani,Ini,Null,0,Vn,N,1,1,Gen,55,5,0.9167
Hero,1,0,Hum,Ini,Null,1,V,X,2,0,Acc,176,20,0.898
Hero,1,0,Hum,Ini,Null,1,V,X,2,0,Dat,58,12,0.8286
Hero,1,0,Hum,Ini,Null,1,V,X,2,0,Gen,17,35,0.3269
Illustrator,1,0,Hum,Pen,Or,1,Vl,L,4,0,Acc,57,3,0.95
Illustrator,1,0,Hum,Pen,Or,1,Vl,L,4,0,Dat,50,3,0.9434
Illustrator,1,0,Hum,Pen,Or,1,Vl,L,4,0,Gen,32,1,0.9697
Imperator,1,0,Hum,Pen,Or,1,Vl,L,4,0,Acc,97,0,1
Imperator,1,0,Hum,Pen,Or,1,Vl,L,4,0,Dat,58,1,0.9831
Imperator,1,0,Hum,Pen,Or,1,Vl,L,4,0,Gen,57,0,1
Indikator,1,0,Ina,Pen,Or,1,Vl,L,4,0,Acc,874,0,1
Indikator,1,0,Ina,Pen,Or,1,Vl,L,4,0,Dat,241,1,0.9959
Indikator,1,0,Ina,Pen,Or,1,Vl,L,4,0,Gen,160,0,1
Initiator,1,0,Hum,Pen,Or,1,Vl,L,4,0,Acc,66,1,0.9851
Initiator,1,0,Hum,Pen,Or,1,Vl,L,4,0,Dat,54,0,1
Initiator,1,0,Hum,Pen,Or,1,Vl,L,4,0,Gen,40,0,1
Inquisitor,1,0,Hum,Pen,Or,1,Vl,L,4,0,Acc,288,1,0.9965
Inquisitor,1,0,Hum,Pen,Or,1,Vl,L,4,0,Dat,120,0,1
Inquisitor,1,0,Hum,Pen,Or,1,Vl,L,4,0,Gen,92,0,1
Inspektor,1,0,Hum,Pen,Or,1,Vl,L,3,0,Acc,112,0,1
Inspektor,1,0,Hum,Pen,Or,1,Vl,L,3,0,Dat,97,0,1
Inspektor,1,0,Hum,Pen,Or,1,Vl,L,3,0,Gen,54,0,1
Junior,1,0,Hum,Ini,Or,1,Vl,L,3,0,Acc,156,26,0.8571
Junior,1,0,Hum,Ini,Or,1,Vl,L,3,0,Dat,82,20,0.8039
Junior,1,0,Hum,Ini,Or,1,Vl,L,3,0,Gen,8,4,0.6667
Juror,1,0,Hum,Ini,Or,1,Vl,L,2,0,Acc,29,13,0.6905
Juror,1,0,Hum,Ini,Or,1,Vl,L,2,0,Dat,34,8,0.8095
Juror,1,0,Hum,Ini,Or,1,Vl,L,2,0,Gen,26,11,0.7027
Kaiman,1,0,Ani,Ult,Null,1,Vn,N,2,0,Acc,84,2,0.9767
Kaiman,1,0,Ani,Ult,Null,1,Vn,N,2,0,Dat,25,0,1
Kaiman,1,0,Ani,Ult,Null,1,Vn,N,2,0,Gen,13,0,1
Katalysator,1,0,Ina,Pen,Or,1,Vl,L,5,0,Acc,617,2,0.9968
Katalysator,1,0,Ina,Pen,Or,1,Vl,L,5,0,Dat,411,0,1
Katalysator,1,0,Ina,Pen,Or,1,Vl,L,5,0,Gen,504,1,0.998
Kollektor,1,0,Ina,Pen,Or,1,Vl,L,3,0,Acc,109,0,1
Kollektor,1,0,Ina,Pen,Or,1,Vl,L,3,0,Dat,83,0,1
Kollektor,1,0,Ina,Pen,Or,1,Vl,L,3,0,Gen,59,0,1
Kommentator,1,0,Hum,Pen,Or,1,Vl,L,4,0,Acc,360,18,0.9524
Kommentator,1,0,Hum,Pen,Or,1,Vl,L,4,0,Dat,239,11,0.956
Kommentator,1,0,Hum,Pen,Or,1,Vl,L,4,0,Gen,191,12,0.9409
Kompressor,1,0,Ina,Pen,Or,1,Vl,L,3,0,Acc,1602,0,1
Kompressor,1,0,Ina,Pen,Or,1,Vl,L,3,0,Dat,768,1,0.9987
Kompressor,1,0,Ina,Pen,Or,1,Vl,L,3,0,Gen,309,0,1
Kondensator,1,0,Ina,Pen,Or,1,Vl,L,4,0,Acc,1662,3,0.9982
Kondensator,1,0,Ina,Pen,Or,1,Vl,L,4,0,Dat,966,3,0.9969
Kondensator,1,0,Ina,Pen,Or,1,Vl,L,4,0,Gen,610,1,0.9984
Kontinent,1,0,Ina,Ult,Ent,1,Vnt,Nt,3,0,Acc,1712,16,0.9907
Kontinent,1,0,Ina,Ult,Ent,1,Vnt,Nt,3,0,Dat,1787,14,0.9922
Kontinent,1,0,Ina,Ult,Ent,1,Vnt,Nt,3,0,Gen,904,5,0.9945
Koordinator,1,0,Hum,Pen,Or,1,Vl,L,5,0,Acc,315,4,0.9875
Koordinator,1,0,Hum,Pen,Or,1,Vl,L,5,0,Dat,104,1,0.9905
Koordinator,1,0,Hum,Pen,Or,1,Vl,L,5,0,Gen,188,1,0.9947
Kreator,1,0,Hum,Pen,Or,1,Vl,L,3,0,Dat,13,0,1
Kreator,1,0,Hum,Pen,Or,1,Vl,L,3,0,Gen,3,0,1
Kurator,1,0,Hum,Pen,Or,1,Vl,L,3,0,Acc,42,1,0.9767
Kurator,1,0,Hum,Pen,Or,1,Vl,L,3,0,Dat,39,1,0.975
Kurator,1,0,Hum,Pen,Or,1,Vl,L,3,0,Gen,48,2,0.96
Lektor,1,0,Hum,Ini,Or,1,Vl,L,2,0,Acc,447,8,0.9824
Lektor,1,0,Hum,Ini,Or,1,Vl,L,2,0,Dat,233,2,0.9915
Lektor,1,0,Hum,Ini,Or,1,Vl,L,2,0,Gen,189,11,0.945
Mai,1,0,Ina,Ini,Null,0,Vv,X,1,1,Acc,440,13,0.9713
Mai,1,0,Ina,Ini,Null,0,Vv,X,1,1,Dat,192,1,0.9948
Mai,1,0,Ina,Ini,Null,0,Vv,X,1,1,Gen,2,2,0.5
März,1,0,Ina,Ini,Null,0,Vla,La,1,1,Acc,69,0,1
März,1,0,Ina,Ini,Null,0,Vla,La,1,1,Dat,108,2,0.9818
März,1,0,Ina,Ini,Null,0,Vla,La,1,1,Gen,1,1,0.5
Mast,1,0,Ina,Ini,Null,0,Vft,Ft,1,1,Acc,1035,192,0.8435
Mast,1,0,Ina,Ini,Null,0,Vft,Ft,1,1,Dat,862,104,0.8923
Mast,1,0,Ina,Ini,Null,0,Vft,Ft,1,1,Gen,163,8,0.9532
Mediator,1,0,Hum,Pen,Or,1,Vl,L,4,0,Acc,305,4,0.9871
Mediator,1,0,Hum,Pen,Or,1,Vl,L,4,0,Dat,167,1,0.994
Mediator,1,0,Hum,Pen,Or,1,Vl,L,4,0,Gen,322,6,0.9817
Mentor,1,0,Hum,Ini,Or,1,Vl,L,2,0,Acc,1047,5,0.9952
Mentor,1,0,Hum,Ini,Or,1,Vl,L,2,0,Dat,388,3,0.9923
Mentor,1,0,Hum,Ini,Or,1,Vl,L,2,0,Gen,200,8,0.9615
Meteor,1,0,Ina,Ult,Or,1,Vl,L,3,0,Acc,207,4,0.981
Meteor,1,0,Ina,Ult,Or,1,Vl,L,3,0,Dat,178,3,0.9834
Meteor,1,0,Ina,Ult,Or,1,Vl,L,3,0,Gen,103,4,0.9626
Moderator,1,0,Hum,Pen,Or,1,Vl,L,4,0,Acc,2538,68,0.9739
Moderator,1,0,Hum,Pen,Or,1,Vl,L,4,0,Dat,5722,46,0.992
Moderator,1,0,Hum,Pen,Or,1,Vl,L,4,0,Gen,1080,42,0.9626
Multiplikator,1,0,Ina,Pen,Or,1,Vl,L,5,0,Acc,431,6,0.9863
Multiplikator,1,0,Ina,Pen,Or,1,Vl,L,5,0,Dat,224,1,0.9956
Multiplikator,1,0,Ina,Pen,Or,1,Vl,L,5,0,Gen,47,0,1
Muslim,1,0,Hum,Ult,Null,1,Vn,N,2,0,Acc,796,62,0.9277
Muslim,1,0,Hum,Ult,Null,1,Vn,N,2,0,Dat,625,55,0.9191
Muslim,1,0,Hum,Ult,Null,1,Vn,N,2,0,Gen,443,40,0.9172
Nachbar,1,0,Hum,Ini,Null,0,Vl,L,2,0,Acc,226,9,0.9617
Nachbar,1,0,Hum,Ini,Null,0,Vl,L,2,0,Dat,243,4,0.9838
Nachbar,1,0,Hum,Ini,Null,0,Vl,L,2,0,Gen,66,0,1
Navigator,1,0,Hum,Pen,Or,1,Vl,L,4,0,Acc,167,0,1
Navigator,1,0,Hum,Pen,Or,1,Vl,L,4,0,Dat,53,0,1
Navigator,1,0,Hum,Pen,Or,1,Vl,L,4,0,Gen,27,0,1
Nerv,1,0,Ina,Ini,Null,0,Vlf,Lf,1,1,Acc,2038,263,0.8857
Nerv,1,0,Ina,Ini,Null,0,Vlf,Lf,1,1,Dat,180,118,0.604
Nerv,1,0,Ina,Ini,Null,0,Vlf,Lf,1,1,Gen,244,153,0.6146
Operator,1,0,Ina,Pen,Or,1,Vl,L,4,0,Acc,357,1,0.9972
Operator,1,0,Ina,Pen,Or,1,Vl,L,4,0,Dat,221,1,0.9955
Operator,1,0,Ina,Pen,Or,1,Vl,L,4,0,Gen,171,2,0.9884
Organisator,1,0,Hum,Pen,Or,1,Vl,L,5,0,Acc,130,2,0.9848
Organisator,1,0,Hum,Pen,Or,1,Vl,L,5,0,Dat,75,2,0.974
Organisator,1,0,Hum,Pen,Or,1,Vl,L,5,0,Gen,60,7,0.8955
Papagei,1,0,Ani,Ult,Null,0,Vv,X,3,0,Acc,960,197,0.8297
Papagei,1,0,Ani,Ult,Null,0,Vv,X,3,0,Dat,383,52,0.8805
Papagei,1,0,Ani,Ult,Null,0,Vv,X,3,0,Gen,129,84,0.6056
Pastor,1,0,Hum,Ini,Or,1,Vl,L,2,0,Acc,645,37,0.9457
Pastor,1,0,Hum,Ini,Or,1,Vl,L,2,0,Dat,515,27,0.9502
Pastor,1,0,Hum,Ini,Or,1,Vl,L,2,0,Gen,466,34,0.932
Professor,1,0,Hum,Pen,Or,1,Vl,L,3,0,Acc,1836,13,0.993
Professor,1,0,Hum,Pen,Or,1,Vl,L,3,0,Dat,2226,9,0.996
Professor,1,0,Hum,Pen,Or,1,Vl,L,3,0,Gen,1581,12,0.9925
Projektor,1,0,Ina,Pen,Or,1,Vl,L,3,0,Acc,945,1,0.9989
Projektor,1,0,Ina,Pen,Or,1,Vl,L,3,0,Dat,539,0,1
Projektor,1,0,Ina,Pen,Or,1,Vl,L,3,0,Gen,292,0,1
Prozessor,1,0,Ina,Pen,Or,1,Vl,L,3,0,Acc,2559,2,0.9992
Prozessor,1,0,Ina,Pen,Or,1,Vl,L,3,0,Dat,1267,1,0.9992
Prozessor,1,0,Ina,Pen,Or,1,Vl,L,3,0,Gen,464,2,0.9957
Radiator,1,0,Ina,Pen,Or,1,Vl,L,4,0,Acc,173,0,1
Radiator,1,0,Ina,Pen,Or,1,Vl,L,4,0,Dat,91,0,1
Radiator,1,0,Ina,Pen,Or,1,Vl,L,4,0,Gen,42,0,1
Reaktor,1,0,Ina,Pen,Or,1,Vl,L,3,0,Acc,568,0,1
Reaktor,1,0,Ina,Pen,Or,1,Vl,L,3,0,Dat,605,0,1
Reaktor,1,0,Ina,Pen,Or,1,Vl,L,3,0,Gen,419,0,1
Reflektor,1,0,Ina,Pen,Or,1,Vl,L,3,0,Acc,592,0,1
Reflektor,1,0,Ina,Pen,Or,1,Vl,L,3,0,Dat,386,0,1
Reflektor,1,0,Ina,Pen,Or,1,Vl,L,3,0,Gen,110,0,1
Reformator,1,0,Hum,Pen,Or,1,Vl,L,4,0,Acc,37,2,0.9487
Reformator,1,0,Hum,Pen,Or,1,Vl,L,4,0,Dat,14,0,1
Reformator,1,0,Hum,Pen,Or,1,Vl,L,4,0,Gen,24,0,1
