Stem,Strong,Dub,Sem,Accent,Class,Loan,Rhyme,Coda,Syll,Monosyll,Case,CountStr,CountWk,PropStr
Abiturient,0,0,Hum,Ult,Ent,1,Vnt,Nt,5,0,Acc,4,139,28
Abiturient,0,0,Hum,Ult,Ent,1,Vnt,Nt,5,0,Dat,1,136,0.0073
Abiturient,0,0,Hum,Ult,Ent,1,Vnt,Nt,5,0,Gen,0,118,0
Abonnent,0,0,Hum,Ult,Ent,1,Vnt,Nt,3,0,Acc,2,621,0.0032
Abonnent,0,0,Hum,Ult,Ent,1,Vnt,Nt,3,0,Dat,1,29,0.0333
Abonnent,0,0,Hum,Ult,Ent,1,Vnt,Nt,3,0,Gen,0,53,0
Absolvent,0,0,Hum,Ult,Ent,1,Vnt,Nt,3,0,Acc,1,200,5
Absolvent,0,0,Hum,Ult,Ent,1,Vnt,Nt,3,0,Dat,5,153,0.0316
Absolvent,0,0,Hum,Ult,Ent,1,Vnt,Nt,3,0,Gen,0,120,0
Adept,0,0,Hum,Ult,Null,1,Vtt,Tt,2,0,Acc,7,127,0.0522
Adept,0,0,Hum,Ult,Null,1,Vtt,Tt,2,0,Dat,3,85,0.0341
Adept,0,0,Hum,Ult,Null,1,Vtt,Tt,2,0,Gen,2,81,0.0241
Adjutant,0,0,Hum,Ult,Ant,1,Vnt,Nt,3,0,Acc,2,76,0.0256
Adjutant,0,0,Hum,Ult,Ant,1,Vnt,Nt,3,0,Dat,1,38,0.0256
Adjutant,0,0,Hum,Ult,Ant,1,Vnt,Nt,3,0,Gen,0,23,0
Adressat,0,0,Hum,Ult,At,1,Vt,T,3,0,Acc,9,421,0.0209
Adressat,0,0,Hum,Ult,At,1,Vt,T,3,0,Dat,5,90,0.0526
Adressat,0,0,Hum,Ult,At,1,Vt,T,3,0,Gen,0,60,0
Adventist,0,0,Hum,Ult,Ist,1,Vft,Ft,3,0,Acc,0,25,0
Adventist,0,0,Hum,Ult,Ist,1,Vft,Ft,3,0,Dat,0,23,0
Adventist,0,0,Hum,Ult,Ist,1,Vft,Ft,3,0,Gen,0,18,0
Advokat,0,0,Hum,Ult,At,1,Vt,T,3,0,Acc,6,99,0.0571
Advokat,0,0,Hum,Ult,At,1,Vt,T,3,0,Dat,3,64,0.0448
